komk,N07015,N00905,N00914,N00920,N00954,N00968,N02937,N02993,N07004,N07805,N07806,N07900,N07908,N07909,N07911,N07910,N07912,U07406,U01803,pt_share,N60404,U85001,U85002,U85420,U85421,U85422,U85427,U85429,Grupp,Huvudgrupp,Kommungrupp,Kommunnamn
821,0,153389,69.807428,34.275296,67,21.148587,7.61273315,751.11,1472.542847,312.31708307,2.58731851,9.30029663,502,3465,206.365862,5467,51,NA,27.4,0.222301395553158,32.92100072,1859.757818,24.01573629,41,56,10.54353708,11,77.43913389,C7,C,7,Högsby
834,537.578136,161218,75.903614,41.311933,53.1,17.236567,14.68585214,468.41,1927.315017,150.51209173,1.44166104,10.2679218,822,4817,202.645733,8744,52,60,23.3,0.0131549843475134,32.92100072,1859.757818,24.01573629,41,56,10.54353708,11,77.43913389,C7,C,7,Torsås
840,205.317372,183738,82.090719000000007,50.058893,65.9,22.909305,21.54801362,666.79,1064.239978,66.70391792,1.83918642,11.08934443,9667,12981,259.883073,20659,49,NA,17.2,0,32.92100072,1859.757818,24.01573629,41,56,10.54353708,11,77.43913389,C7,C,7,Mörbylånga
860,-12.687935,154565,71.260745,23.660714,81.1,14.955357,12.15760753,1121.52,1498.716538,202.42965662,0.92476731,14.17613217,1177,3710,124.679135,6972,50,NA,23.7,0.0530540354829894,32.92100072,1859.757818,24.01573629,41,56,10.54353708,11,77.43913389,C7,C,7,Hultsfred
861,36.141787,169410,77.043376,34.895279,70.2,15.086972,21.60110766,599.46,1321.337555,109.29463318,2.25996829,30.74097233,2840,8045,105.72245,12063,48,67,17.7,0.0505793813202485,32.92100072,1859.757818,24.01573629,41,56,10.54353708,11,77.43913389,C7,C,7,Mönsterås
862,141.566265,165846,76.560453999999993,27.267932,70.6,22.151899,12.9969552,689.7,1598.839804,194.68227332,1.12428927,12.99566811,200,4719,94.042838,5666,54,NA,20.1,0.099740152017202,32.92100072,1859.757818,24.01573629,41,56,10.54353708,11,77.43913389,C7,C,7,Emmaboda
880,386.150547,183133,76.775504,15.346275,87.9,26.829748,66.7645522,956.9,1504.18708,42.11752778,2.53202963,52.68928684,10931,14881,34.01318,18063,43,56,19.3,0.0479971574900071,32.92100072,1859.757818,24.01573629,41,56,10.54353708,11,77.43913389,C6,C,6,Kalmar
881,753.553286,162533,75.459523,30.292146,77.5,17.69636,16.63323917,1171.69,1988.198471,146.47021561,3.65551989,28.54722793,1192,6595,53.876546,6414,49,61,22.2,0.0106405041626907,32.92100072,1859.757818,24.01573629,41,56,10.54353708,11,77.43913389,C7,C,7,Nybro
882,275.331909,180647,79.270386,10.212044,84.4,18.184902,25.04442873,1046.62,1328.742561,86.06393419,0.19302732,41.29163002,4808,11494,75.232718,18330,46,NA,15.2,0.0374694460342163,32.92100072,1859.757818,24.01573629,41,56,10.54353708,11,77.43913389,C6,C,6,Oskarshamn
883,104.49717,171217,76.104034,8.339859,80.5,6.865048,19.13488367,1874.43,1242.897371,115.60353921,2.72164947,25.03483641,5094,10231,144.283046,22228,46,NA,20.4,0.0358991660988143,32.92100072,1859.757818,24.01573629,41,56,10.54353708,11,77.43913389,C6,C,6,Västervik
